STN_Code,Location_Name,Water_Body_Type,State_Name,Temperature_Min,Temperature_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,Nitrate_Min,Nitrate_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,Water_Quality,Pollution_Level
5060.0,"CHAKALAVANI CHERUVU, LINGAMPALLY, SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,30.0,0.3,2.9,7.0,8.3,1024.0,1528.0,4.0,20.0,5.2,17.7,17.0,36.0,240.0,540.0,Poor,Highly Polluted
5051.0,"CHINNA BANDAM, SURARAM, QUTUBULLAPUR, MEDCHAL  MALKAGIRI",LAKE,TELANGANA,27.0,29.0,0.3,3.9,7.0,8.3,1146.0,1888.0,2.1,14.0,2.1,12.8,11.0,63.0,170.0,540.0,Poor,Highly Polluted
,"CHINNA PEDDA CHERUVU, GOPANPALLY, SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,29.0,1.0,5.1,7.0,8.6,846.0,987.0,3.0,6.0,3.8,356.0,6.0,33.0,21.0,540.0,Moderate,Slightly Polluted
4668.0,"CHINNARAYAN CHERUVU, ALWAL (V)",LAKE,TELANGANA,28.0,30.0,0.3,2.2,7.2,8.2,1080.0,1732.0,6.0,12.0,2.2,18.0,21.0,63.0,280.0,540.0,Poor,Highly Polluted
5046.0,"CHINTAL CHERUVU, GAJULARAMARAM, QUTUBULLAPUR, MEDCHAL 
MALKAGIRI",LAKE,TELANGANA,27.0,30.0,2.2,5.0,7.3,8.5,377.0,572.0,2.1,6.0,0.3,4.0,2.0,33.0,28.0,540.0,Moderate,Slightly Polluted
5039.0,"DMRL LAKE, KANCHANBAGH,
BANDLAGUDA, HYDERABAD",LAKE,TELANGANA,22.0,30.0,0.3,3.8,7.1,8.2,1048.0,1821.0,3.2,18.0,0.3,16.8,13.0,79.0,94.0,540.0,Poor,Highly Polluted
3070.0,"FOX SAGAR, JEEDIMETLA, RANGA REDDY",LAKE,TELANGANA,25.0,30.0,0.8,3.2,7.6,8.5,1042.0,1476.0,3.0,6.0,1.0,14.0,7.0,54.0,280.0,540.0,Moderate,Slightly Polluted
5059.0,"GOPI CHERUVU, LINGAMPALLY,
SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,32.0,0.3,4.1,7.1,8.4,999.0,1323.0,3.0,10.0,2.6,10.3,10.0,34.0,220.0,540.0,Poor,Moderately Polluted
5062.0,"GURUNATH CHERUVU, MIYAPUR, SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,30.0,0.3,3.9,7.0,8.5,830.0,1313.0,4.0,14.0,6.2,39.0,8.0,33.0,170.0,540.0,Poor,Highly Polluted
3073.0,"HASMATHPET LAKE, HASMATHPET, RANGA REDDY",LAKE,TELANGANA,21.0,30.0,0.3,0.3,7.1,8.4,961.0,1685.0,6.0,10.0,2.1,7.0,21.0,84.0,430.0,540.0,Poor,Moderately Polluted
1789.0,"HIMAYAT SAGAR LAKE , R.R.DIST.",LAKE,TELANGANA,20.0,29.0,4.9,6.2,7.3,8.1,388.0,526.0,2.1,2.6,0.3,1.2,2.0,4.0,2.0,110.0,Good,Clean
4679.0,"HUDA PARK LAKE/ BUMRUKH KHAN
DOWLA",LAKE,TELANGANA,28.0,35.0,0.3,0.9,7.0,8.4,1773.0,3194.0,6.0,22.0,5.2,29.0,26.0,120.0,350.0,920.0,Poor,Highly Polluted
1391.0,"HUSSAIN SAGAR LAKE, BUDAMERU",LAKE,TELANGANA,23.2,32.0,0.3,2.4,7.4,8.0,1044.0,1410.0,5.8,8.0,1.8,14.6,39.0,120.0,430.0,920.0,Poor,Moderately Polluted
4686.0,"ICRISAT LAKE, ICRISAT",LAKE,TELANGANA,25.0,25.0,5.9,6.8,6.5,7.3,394.0,914.0,2.1,3.6,3.11,7.15,10.0,25.0,120.0,280.0,Moderate,Slightly Polluted
4699.0,"KAPRAI CHERUVU, SAHEBNAGAR (V),
HAYATHNAGAR",LAKE,TELANGANA,20.0,35.0,2.9,5.0,7.2,8.3,378.0,671.0,2.1,4.0,0.3,2.4,8.0,34.0,110.0,280.0,Moderate,Slightly Polluted
5054.0,"KOMATI KUNTA, GOPANPALLY,
SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,30.0,1.8,5.1,7.1,8.5,554.0,775.0,2.1,7.0,2.2,7.8,4.0,27.0,33.0,430.0,Poor,Moderately Polluted
4705.0,"KOTHA CHERUVU (ALWAL CHERUVU), ALWAL (V)",LAKE,TELANGANA,27.0,29.0,0.3,0.9,7.3,8.5,1269.0,1942.0,6.0,14.0,7.2,27.0,21.0,63.0,350.0,540.0,Poor,Highly Polluted
5032.0,"KOTHA CHERUVU, SHAIKPET, HYDERABAD",LAKE,TELANGANA,24.0,29.0,0.3,4.1,7.2,8.5,869.0,1366.0,3.0,10.0,1.8,12.0,11.0,49.0,130.0,430.0,Poor,Moderately Polluted
5057.0,"KUDI KUNTA (GAUTAMI LAKE), KONDAPUR, SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,33.0,0.3,0.3,6.9,7.6,1045.0,1769.0,6.0,17.0,5.4,19.9,10.0,47.0,350.0,540.0,Poor,Highly Polluted
4235.0,LAKE KAMUNI ( SHAMSHABAD LAKE),LAKE,TELANGANA,28.0,35.0,1.8,4.4,7.0,8.4,715.0,1291.0,2.1,5.8,1.5,8.8,11.0,33.0,170.0,540.0,Moderate,Slightly Polluted
4680.0,"LAKNAVARAM CHERUVU, MULUGU (V)",LAKE,TELANGANA,28.0,29.0,5.0,6.6,6.9,8.4,124.0,211.0,2.1,2.6,0.3,0.8,2.0,2.0,4.0,32.0,Good,Clean
3071.0,"LANGARHOUSE LAKE, HYDERABAD",LAKE,TELANGANA,20.0,30.0,0.3,1.0,7.2,8.2,870.0,1520.0,4.2,10.0,2.6,13.0,7.0,110.0,280.0,540.0,Poor,Moderately Polluted
2340.0,"LAXMINARAYANA CHERUVU AT
EDULABAD, RANGAREDDY",LAKE,TELANGANA,21.0,30.0,3.1,5.4,7.5,8.3,1086.0,1744.0,2.4,5.4,0.4,4.5,3.0,22.0,150.0,350.0,Moderate,Slightly Polluted
4677.0,"LINGAM CHERUVU, SURARAM (V),
QUTHUBULLAPUR",LAKE,TELANGANA,27.0,29.0,0.3,0.3,7.1,7.7,1488.0,1731.0,6.2,12.0,4.0,18.2,17.0,63.0,430.0,920.0,Poor,Highly Polluted
